kind,channel1,channel2,channel3,metric,value
ad_ratio,,,,apply_count_per_link_click,0.007246
ad_ratio,,,,ctr_clicks_per_impression,0.00497
ad_ratio,,,,engaged_sessions_per_link_click,0.813043
ad_ratio,,,,engaged_share_of_ad_sessions,0.458708
ad_ratio,,,,frequency_impressions_per_reach,1.023326
ad_ratio,,,,link_click_rate_per_impression,0.003748
ad_ratio,,,,link_click_share_of_clicks,0.754098
ad_ratio,,,,sessions_per_link_click,1.772464
channel,non_paid,direct,direct,apply_count_share,0.459514
channel,non_paid,social,instagram,apply_count_share,0.392713
channel,non_paid,referral,bit.ly,apply_count_share,0.04251
channel,non_paid,search,google,apply_count_share,0.024291
channel,non_paid,internal,dev_host,apply_count_share,0.024291
channel,non_paid,social,linktr.ee,apply_count_share,0.022267
channel,non_paid,internal,pg_return,apply_count_share,0.016194
channel,paid,da,instagram,apply_count_share,0.012146
channel,non_paid,internal,facebook,apply_count_share,0.004049
channel,non_paid,social,unknown,apply_count_share,0.002024
channel,non_paid,influencer,instagram,session_share,0.312332
channel,non_paid,search,naver,session_share,0.188804
channel,non_paid,direct,direct,session_share,0.182979
channel,non_paid,social,instagram,session_share,0.112084
channel,paid,da,instagram,session_share,0.049577
channel,non_paid,search,google,session_share,0.046147
channel,non_paid,social,linktr.ee,session_share,0.02925
channel,non_paid,internal,pg_return,session_share,0.028135
channel,non_paid,referral,bit.ly,session_share,0.010039
channel,non_paid,social,facebook,session_share,0.00975
channel,non_paid,store,google_play,session_share,0.008263
channel,non_paid,influencer,bit.ly,session_share,0.00723
channel,non_paid,social,unknown,session_share,0.004834
channel,non_paid,internal,dev_host,session_share,0.002685
channel,non_paid,influencer,linktr.ee,session_share,0.002024
channel,non_paid,influencer,unknown,session_share,0.001198
channel,non_paid,referral,other,session_share,0.001115
channel,paid,da,facebook,session_share,8.26E-4
channel,non_paid,internal,google,session_share,5.78E-4
channel,non_paid,ai,chatgpt,session_share,4.13E-4
channel,non_paid,search,bing,session_share,3.31E-4
channel,non_paid,ai,gemini,session_share,3.31E-4
channel,non_paid,internal,facebook,session_share,3.31E-4
channel,non_paid,influencer,facebook,session_share,1.65E-4
channel,paid,da,other,session_share,1.65E-4
channel,non_paid,internal,oauth_return,session_share,1.24E-4
channel,paid,da,unknown,session_share,8.3E-5
channel,non_paid,referral,github.com,session_share,8.3E-5
channel,non_paid,referral,naver,session_share,4.1E-5
channel,non_paid,referral,linkedin.com,session_share,4.1E-5
channel,non_paid,referral,youtube.com,session_share,4.1E-5
