kind,value,share,alias,unit
event_pay_type,paid_transfer,0.642857,,events
event_pay_type,free,0.232143,,events
event_pay_type,paid_card,0.125,,events
event_status,PAST,0.928571,,events
event_status,UPCOMING,0.071429,,events
member_taste_genre,HIPHOP,0.273977,,members
member_taste_genre,EDM,0.128836,,members
member_taste_genre,R&B,0.11413,,members
member_taste_genre,K-POP,0.101023,,members
member_taste_genre,HOUSE,0.091113,,members
member_taste_genre,POP,0.081202,,members
member_taste_genre,TECHNO,0.060422,,members
member_taste_genre,MIX,0.037724,,members
member_taste_genre,ROCK,0.035806,,members
member_taste_genre,JAZZ,0.030691,,members
member_taste_genre,SOUL&FUNK,0.022698,,members
member_taste_genre,LATIN,0.022379,,members
member_taste_mood,MUSIC_CENTRIC,0.287273,,members
member_taste_mood,MINGLE_ORIENTED,0.246909,,members
member_taste_mood,ENERGETIC,0.130909,,members
member_taste_mood,CHILL,0.092,,members
member_taste_mood,DEEP,0.069818,,members
member_taste_mood,International-Friendly,0.06,,members
member_taste_mood,UNDERGROUND,0.048364,,members
member_taste_mood,COMMERCIAL,0.031273,,members
member_taste_mood,LGBTQ+,0.021091,,members
member_taste_mood,WELLNESS,0.012364,,members
member_taste_region,달빛지구,0.364447,,members
member_taste_region,등대항,0.291033,,members
member_taste_region,유리언덕,0.090718,,members
member_taste_region,붉은다리,0.065024,,members
member_taste_region,은하로,0.061353,,members
member_taste_region,모래섬,0.052438,,members
member_taste_region,종탑거리,0.027268,,members
member_taste_region,안개강변,0.010488,,members
member_taste_region,(기타),0.037232,,members
member_taste_type,CLUB,0.312429,,members
member_taste_type,PUB,0.160181,,members
member_taste_type,BAR,0.152248,,members
member_taste_type,LOUNGE,0.099358,,members
member_taste_type,EVENT_SPACE,0.094447,,members
member_taste_type,CAFE,0.087269,,members
member_taste_type,LISTENING_SPACE,0.048734,,members
member_taste_type,ROOFTOP,0.045334,,members
venue_genre_db,HIPHOP,0.298077,,venues
venue_genre_db,MIX,0.24359,,venues
venue_genre_db,EDM,0.096154,,venues
venue_genre_db,HOUSE,0.083333,,venues
venue_genre_db,JAZZ,0.070513,,venues
venue_genre_db,POP,0.064103,,venues
venue_genre_db,TECHNO,0.041667,,venues
venue_genre_db,K-POP,0.032051,,venues
venue_genre_db,R&B,0.032051,,venues
venue_genre_db,SOUL&FUNK,0.016026,,venues
venue_genre_db,LATIN,0.012821,,venues
venue_genre_db,ROCK,0.009615,,venues
venue_genre_ga,HIPHOP,0.300971,,venue_rows
venue_genre_ga,MIX,0.236246,,venue_rows
venue_genre_ga,EDM,0.097087,,venue_rows
venue_genre_ga,HOUSE,0.084142,,venue_rows
venue_genre_ga,JAZZ,0.071197,,venue_rows
venue_genre_ga,POP,0.061489,,venue_rows
venue_genre_ga,TECHNO,0.042071,,venue_rows
venue_genre_ga,R&B,0.032362,,venue_rows
venue_genre_ga,K-POP,0.032362,,venue_rows
venue_genre_ga,SOUL&FUNK,0.016181,,venue_rows
venue_genre_ga,LATIN,0.012945,,venue_rows
venue_genre_ga,ROCK,0.009709,,venue_rows
venue_genre_ga,(unset),0.003236,,venue_rows
venue_region,달빛지구,0.262821,,venues
venue_region,등대항,0.201923,,venues
venue_region,유리언덕,0.083333,,venues
venue_region,붉은다리,0.067308,,venues
venue_region,은하로,0.057692,,venues
venue_region,모래섬,0.041667,,venues
venue_region,종탑거리,0.038462,,venues
venue_region,안개강변,0.035256,,venues
venue_region,(기타),0.211541,,venues
