entity,rank,view_share,cum_share,entities_observed
event,1,0.481089,0.481089,61
event,2,0.106636,0.587725,61
event,3,0.076093,0.663818,61
event,4,0.053032,0.71685,61
event,5,0.049515,0.766365,61
event,6,0.032056,0.798422,61
event,7,0.026168,0.82459,61
event,8,0.024492,0.849082,61
event,9,0.021998,0.87108,61
event,10,0.019667,0.890747,61
event,11,0.01934,0.910087,61
event,12,0.017664,0.927751,61
event,13,0.011776,0.939527,61
event,14,0.008382,0.947909,61
event,15,0.007442,0.95535,61
event,16,0.006869,0.962219,61
event,17,0.005683,0.967903,61
event,18,0.005683,0.973586,61
event,19,0.005561,0.979147,61
event,20,0.003639,0.982786,61
event,21,0.003557,0.986343,61
event,22,0.003353,0.989696,61
event,23,0.001758,0.991454,61
event,24,0.001636,0.99309,61
event,25,0.00139,0.99448,61
event,26,4.91E-4,0.994971,61
event,27,4.91E-4,0.995461,61
event,28,4.5E-4,0.995911,61
event,29,4.5E-4,0.996361,61
event,30,4.09E-4,0.99677,61
event,31,3.68E-4,0.997138,61
event,32,2.86E-4,0.997424,61
event,33,2.86E-4,0.99771,61
event,34,2.45E-4,0.997956,61
event,35,2.04E-4,0.99816,61
event,36,1.64E-4,0.998324,61
event,37,1.64E-4,0.998487,61
event,38,1.23E-4,0.99861,61
event,39,1.23E-4,0.998732,61
event,40,1.23E-4,0.998855,61
event,41,8.2E-5,0.998937,61
event,42,8.2E-5,0.999019,61
event,43,8.2E-5,0.9991,61
event,44,8.2E-5,0.999182,61
event,45,8.2E-5,0.999264,61
event,46,8.2E-5,0.999346,61
event,47,8.2E-5,0.999428,61
event,48,4.1E-5,0.999468,61
event,49,4.1E-5,0.999509,61
event,50,4.1E-5,0.99955,61
event,51,4.1E-5,0.999591,61
event,52,4.1E-5,0.999632,61
event,53,4.1E-5,0.999673,61
event,54,4.1E-5,0.999714,61
event,55,4.1E-5,0.999755,61
event,56,4.1E-5,0.999796,61
event,57,4.1E-5,0.999836,61
event,58,4.1E-5,0.999877,61
event,59,4.1E-5,0.999918,61
event,60,4.1E-5,0.999959,61
event,61,4.1E-5,1.0,61
venue,1,0.083909,0.083909,299
venue,2,0.044573,0.128482,299
venue,3,0.033207,0.161689,299
venue,4,0.026855,0.188545,299
venue,5,0.025964,0.214509,299
venue,6,0.024515,0.239024,299
venue,7,0.023624,0.262648,299
venue,8,0.023178,0.285826,299
venue,9,0.022732,0.308558,299
venue,10,0.021172,0.32973,299
venue,11,0.018832,0.348563,299
venue,12,0.015378,0.36394,299
venue,13,0.014375,0.378315,299
venue,14,0.014152,0.392467,299
venue,15,0.013595,0.406062,299
venue,16,0.012146,0.418208,299
venue,17,0.011923,0.430131,299
venue,18,0.011589,0.441721,299
venue,19,0.011255,0.452975,299
venue,20,0.010698,0.463673,299
venue,21,0.010029,0.473702,299
venue,22,0.009806,0.483508,299
venue,23,0.009695,0.493203,299
venue,24,0.009249,0.502452,299
venue,25,0.009138,0.511589,299
venue,26,0.008246,0.519835,299
venue,27,0.008246,0.528081,299
venue,28,0.007912,0.535993,299
venue,29,0.007689,0.543682,299
venue,30,0.007466,0.551148,299
venue,31,0.007466,0.558614,299
venue,32,0.007243,0.565857,299
venue,33,0.00702,0.572877,299
venue,34,0.00702,0.579897,299
venue,35,0.006909,0.586806,299
venue,36,0.006575,0.593381,299
venue,37,0.006575,0.599955,299
venue,38,0.006575,0.60653,299
venue,39,0.006017,0.612547,299
venue,40,0.005906,0.618453,299
venue,41,0.005906,0.624359,299
venue,42,0.005906,0.630265,299
venue,43,0.005795,0.63606,299
venue,44,0.005572,0.641631,299
venue,45,0.005572,0.647203,299
venue,46,0.005349,0.652552,299
venue,47,0.005126,0.657678,299
venue,48,0.005126,0.662804,299
venue,49,0.005014,0.667818,299
venue,50,0.005014,0.672833,299
venue,51,0.004903,0.677736,299
venue,52,0.004792,0.682527,299
venue,53,0.004792,0.687319,299
venue,54,0.004792,0.692111,299
venue,55,0.00468,0.696791,299
venue,56,0.004457,0.701248,299
venue,57,0.004457,0.705705,299
venue,58,0.004457,0.710163,299
venue,59,0.004457,0.71462,299
venue,60,0.004123,0.718743,299
venue,61,0.004123,0.722866,299
venue,62,0.004012,0.726878,299
venue,63,0.004012,0.730889,299
venue,64,0.004012,0.734901,299
venue,65,0.0039,0.738801,299
venue,66,0.0039,0.742701,299
venue,67,0.0039,0.746601,299
venue,68,0.003789,0.75039,299
venue,69,0.003789,0.754179,299
venue,70,0.003789,0.757967,299
venue,71,0.003789,0.761756,299
venue,72,0.003677,0.765433,299
venue,73,0.003566,0.768999,299
venue,74,0.003454,0.772454,299
venue,75,0.00312,0.775574,299
venue,76,0.00312,0.778694,299
venue,77,0.00312,0.781814,299
venue,78,0.003009,0.784823,299
venue,79,0.003009,0.787832,299
venue,80,0.002897,0.790729,299
venue,81,0.002897,0.793626,299
venue,82,0.002897,0.796523,299
venue,83,0.002786,0.799309,299
venue,84,0.002786,0.802095,299
venue,85,0.002786,0.804881,299
venue,86,0.002563,0.807444,299
venue,87,0.002452,0.809895,299
venue,88,0.002452,0.812347,299
venue,89,0.002452,0.814798,299
venue,90,0.00234,0.817138,299
venue,91,0.00234,0.819478,299
venue,92,0.00234,0.821819,299
venue,93,0.00234,0.824159,299
venue,94,0.00234,0.826499,299
venue,95,0.00234,0.828839,299
venue,96,0.002229,0.831068,299
