scope,basis,key,cohort_idx,week_offset,retention_rate,cohort_size_bucket
by_channel1,device,non_paid,,1,0.044812,1000+
by_channel1,device,non_paid,,2,0.022474,1000+
by_channel1,device,non_paid,,4,0.010894,1000+
by_channel1,device,paid,,1,0.010151,1000+
by_channel1,device,paid,,2,0.001857,1000+
by_channel1,device,paid,,4,0.001486,1000+
by_channel1,member,non_paid,,1,0.295218,500-999
by_channel1,member,non_paid,,2,0.113978,500-999
by_channel1,member,non_paid,,4,0.041199,500-999
by_channel1,member,paid,,1,0.3,<50
by_channel1,member,paid,,2,0.1,<50
by_channel1,member,paid,,4,0.05,<50
by_cohort_idx,device,(all),1,1,0.061207,1000+
by_cohort_idx,device,(all),1,2,0.044828,1000+
by_cohort_idx,device,(all),1,4,0.012931,1000+
by_cohort_idx,device,(all),2,1,0.032916,1000+
by_cohort_idx,device,(all),2,2,0.00649,1000+
by_cohort_idx,device,(all),2,4,0.003709,1000+
by_cohort_idx,device,(all),3,1,0.032258,500-999
by_cohort_idx,device,(all),3,2,0.026696,500-999
by_cohort_idx,device,(all),3,4,0.013348,500-999
by_cohort_idx,device,(all),4,1,0.03908,200-499
by_cohort_idx,device,(all),4,2,0.022989,200-499
by_cohort_idx,device,(all),4,4,0.02069,200-499
by_cohort_idx,device,(all),5,1,0.047904,200-499
by_cohort_idx,device,(all),5,2,0.041916,200-499
by_cohort_idx,device,(all),5,4,0.017964,200-499
by_cohort_idx,device,(all),6,1,0.043408,500-999
by_cohort_idx,device,(all),6,2,0.027331,500-999
by_cohort_idx,device,(all),6,4,0.011254,500-999
by_cohort_idx,device,(all),7,1,0.042694,1000+
by_cohort_idx,device,(all),7,2,0.003795,1000+
by_cohort_idx,device,(all),7,4,0.005693,1000+
by_cohort_idx,device,(all),8,1,0.008962,1000+
by_cohort_idx,device,(all),8,2,0.007842,1000+
by_cohort_idx,device,(all),8,4,0.004481,1000+
by_cohort_idx,device,(all),9,1,0.028653,500-999
by_cohort_idx,device,(all),9,2,0.008596,500-999
by_cohort_idx,device,(all),9,4,0.010029,500-999
by_cohort_idx,device,(all),10,1,0.017617,500-999
by_cohort_idx,device,(all),10,2,0.010363,500-999
by_cohort_idx,device,(all),10,4,0.007254,500-999
by_cohort_idx,device,(all),11,1,0.026634,1000+
by_cohort_idx,device,(all),11,2,0.010492,1000+
by_cohort_idx,device,(all),11,4,0.004036,1000+
by_cohort_idx,device,(all),12,1,0.041199,1000+
by_cohort_idx,device,(all),12,2,0.025468,1000+
by_cohort_idx,device,(all),12,4,0.00824,1000+
by_cohort_idx,device,(all),13,1,0.033974,1000+
by_cohort_idx,device,(all),13,2,0.013462,1000+
by_cohort_idx,device,(all),13,4,0.005128,1000+
by_cohort_idx,device,(all),14,1,0.053733,1000+
by_cohort_idx,device,(all),14,2,0.01605,1000+
by_cohort_idx,device,(all),14,4,0.004885,1000+
by_cohort_idx,device,(all),15,1,0.022493,1000+
by_cohort_idx,device,(all),15,2,0.011246,1000+
by_cohort_idx,device,(all),16,1,0.031119,1000+
by_cohort_idx,device,(all),16,2,0.013457,1000+
by_cohort_idx,device,(all),17,1,0.014656,500-999
by_cohort_idx,member,(all),1,1,0.202381,50-199
by_cohort_idx,member,(all),1,2,0.333333,50-199
by_cohort_idx,member,(all),1,4,0.071429,50-199
by_cohort_idx,member,(all),2,1,0.646465,50-199
by_cohort_idx,member,(all),2,2,0.050505,50-199
by_cohort_idx,member,(all),2,4,0.040404,50-199
by_cohort_idx,member,(all),3,1,0.082192,50-199
by_cohort_idx,member,(all),3,2,0.054795,50-199
by_cohort_idx,member,(all),3,4,0.027397,50-199
by_cohort_idx,member,(all),4,1,0.181818,<50
by_cohort_idx,member,(all),4,2,0.151515,<50
by_cohort_idx,member,(all),4,4,0.030303,<50
by_cohort_idx,member,(all),5,1,0.388889,<50
by_cohort_idx,member,(all),5,2,0.166667,<50
by_cohort_idx,member,(all),5,4,0.166667,<50
by_cohort_idx,member,(all),6,1,0.25,<50
by_cohort_idx,member,(all),6,2,0.0625,<50
by_cohort_idx,member,(all),6,4,0.0,<50
by_cohort_idx,member,(all),7,1,0.242424,<50
by_cohort_idx,member,(all),7,2,0.090909,<50
by_cohort_idx,member,(all),7,4,0.060606,<50
by_cohort_idx,member,(all),8,1,0.2,<50
by_cohort_idx,member,(all),8,2,0.155556,<50
by_cohort_idx,member,(all),8,4,0.066667,<50
by_cohort_idx,member,(all),9,1,0.25,<50
by_cohort_idx,member,(all),9,2,0.0625,<50
by_cohort_idx,member,(all),9,4,0.0625,<50
by_cohort_idx,member,(all),10,1,0.111111,<50
by_cohort_idx,member,(all),10,2,0.027778,<50
by_cohort_idx,member,(all),10,4,0.027778,<50
by_cohort_idx,member,(all),11,1,0.325581,<50
by_cohort_idx,member,(all),11,2,0.162791,<50
by_cohort_idx,member,(all),11,4,0.069767,<50
by_cohort_idx,member,(all),12,1,0.277228,50-199
by_cohort_idx,member,(all),12,2,0.247525,50-199
by_cohort_idx,member,(all),12,4,0.039604,50-199
by_cohort_idx,member,(all),13,1,0.447761,50-199
by_cohort_idx,member,(all),13,2,0.104478,50-199
by_cohort_idx,member,(all),13,4,0.044776,50-199
by_cohort_idx,member,(all),14,1,0.434783,50-199
by_cohort_idx,member,(all),14,2,0.049689,50-199
by_cohort_idx,member,(all),14,4,0.012422,50-199
by_cohort_idx,member,(all),15,1,0.096386,50-199
by_cohort_idx,member,(all),15,2,0.024096,50-199
by_cohort_idx,member,(all),16,1,0.26087,<50
by_cohort_idx,member,(all),16,2,0.043478,<50
by_cohort_idx,member,(all),17,1,0.03125,<50
by_device_platform,device,android,,1,0.04257,1000+
by_device_platform,device,android,,2,0.016265,1000+
by_device_platform,device,android,,4,0.005196,1000+
by_device_platform,device,desktop,,1,0.036188,1000+
by_device_platform,device,desktop,,2,0.015635,1000+
by_device_platform,device,desktop,,4,0.010093,1000+
by_device_platform,device,ios,,1,0.024549,1000+
by_device_platform,device,ios,,2,0.011069,1000+
by_device_platform,device,ios,,4,0.006346,1000+
by_device_platform,device,unknown,,1,0.067984,1000+
by_device_platform,device,unknown,,2,0.04393,1000+
by_device_platform,device,unknown,,4,0.013844,1000+
by_device_platform,member,android,,1,0.375465,200-499
by_device_platform,member,android,,2,0.114068,200-499
by_device_platform,member,android,,4,0.046218,200-499
by_device_platform,member,desktop,,1,0.341463,<50
by_device_platform,member,desktop,,2,0.236842,<50
by_device_platform,member,desktop,,4,0.171429,<50
by_device_platform,member,ios,,1,0.261561,500-999
by_device_platform,member,ios,,2,0.106129,500-999
by_device_platform,member,ios,,4,0.03169,500-999
overall,device,(all),,1,0.032009,
overall,device,(all),,2,0.014536,
overall,device,(all),,4,0.006835,
overall,member,(all),,1,0.295409,
overall,member,(all),,2,0.113402,
overall,member,(all),,4,0.041617,
