metric,key,value
engagement_ms_per_session,p10,5.0
engagement_ms_per_session,p25,3500.0
engagement_ms_per_session,p50,13780.0
engagement_ms_per_session,p75,36844.0
engagement_ms_per_session,p90,94644.0
engagement_ms_per_session,p99,411229.0
events_per_session,p10,4.0
events_per_session,p25,5.0
events_per_session,p50,6.0
events_per_session,p75,8.0
events_per_session,p90,15.0
events_per_session,p99,47.0
screen_views_per_session,p10,1.0
screen_views_per_session,p25,1.0
screen_views_per_session,p50,1.0
screen_views_per_session,p75,3.0
screen_views_per_session,p90,8.0
screen_views_per_session,p99,37.0
sessions_per_device_day,p10,1.0
sessions_per_device_day,p25,1.0
sessions_per_device_day,p50,1.0
sessions_per_device_day,p75,1.0
sessions_per_device_day,p90,1.0
sessions_per_device_day,p99,3.0
share_active_of_visit,(all),0.207397
share_auto_load,(all),0.071721
share_device_platform,android,0.166318
share_device_platform,desktop,0.064311
share_device_platform,ios,0.742579
share_device_platform,unknown,0.026792
share_ga4_engaged_of_visit,(all),0.747652
share_member_session_of_visit,(all),0.215897
share_new_session_of_visit,(all),0.784281
span_sec_per_session,p10,7.0
span_sec_per_session,p25,9.0
span_sec_per_session,p50,27.0
span_sec_per_session,p75,80.0
span_sec_per_session,p90,371.0
span_sec_per_session,p99,2439.0
touches_per_session,p10,1.0
touches_per_session,p25,1.0
touches_per_session,p50,1.0
touches_per_session,p75,1.0
touches_per_session,p90,2.0
touches_per_session,p99,6.0
