dow_iso,dow_name,hour_kst,session_share
1,Mon,0,0.005123
1,Mon,1,0.00376
1,Mon,2,0.002396
1,Mon,3,0.001322
1,Mon,4,0.001281
1,Mon,5,9.09E-4
1,Mon,6,7.02E-4
1,Mon,7,9.92E-4
1,Mon,8,0.0019
1,Mon,9,0.0019
1,Mon,10,0.00219
1,Mon,11,0.002892
1,Mon,12,0.00409
1,Mon,13,0.005825
1,Mon,14,0.007602
1,Mon,15,0.006734
1,Mon,16,0.006321
1,Mon,17,0.007436
1,Mon,18,0.007643
1,Mon,19,0.008635
1,Mon,20,0.008345
1,Mon,21,0.009915
1,Mon,22,0.008924
1,Mon,23,0.007767
2,Tue,0,0.005453
2,Tue,1,0.004503
2,Tue,2,0.002809
2,Tue,3,0.001611
2,Tue,4,0.001529
2,Tue,5,0.001115
2,Tue,6,0.001033
2,Tue,7,0.002107
2,Tue,8,0.003057
2,Tue,9,0.002644
2,Tue,10,0.003966
2,Tue,11,0.004007
2,Tue,12,0.005453
2,Tue,13,0.006445
2,Tue,14,0.008221
2,Tue,15,0.007519
2,Tue,16,0.00628
2,Tue,17,0.00756
2,Tue,18,0.005743
2,Tue,19,0.006362
2,Tue,20,0.025697
2,Tue,21,0.065606
2,Tue,22,0.063169
2,Tue,23,0.085643
3,Wed,0,0.004049
3,Wed,1,0.003305
3,Wed,2,0.002438
3,Wed,3,0.001074
3,Wed,4,9.5E-4
3,Wed,5,7.85E-4
3,Wed,6,9.09E-4
3,Wed,7,8.26E-4
3,Wed,8,0.001694
3,Wed,9,0.001611
3,Wed,10,0.002768
3,Wed,11,0.003305
3,Wed,12,0.002809
3,Wed,13,0.003677
3,Wed,14,0.005412
3,Wed,15,0.005495
3,Wed,16,0.005371
3,Wed,17,0.00661
3,Wed,18,0.015121
3,Wed,19,0.014666
3,Wed,20,0.012683
3,Wed,21,0.011816
3,Wed,22,0.012849
3,Wed,23,0.011113
4,Thu,0,0.006858
4,Thu,1,0.005536
4,Thu,2,0.003429
4,Thu,3,0.002479
4,Thu,4,0.001529
4,Thu,5,0.001074
4,Thu,6,0.001322
4,Thu,7,0.002066
4,Thu,8,0.002892
4,Thu,9,0.00347
4,Thu,10,0.00471
4,Thu,11,0.004421
4,Thu,12,0.005329
4,Thu,13,0.005949
4,Thu,14,0.006032
4,Thu,15,0.007519
4,Thu,16,0.007106
4,Thu,17,0.007932
4,Thu,18,0.006858
4,Thu,19,0.006734
4,Thu,20,0.006197
4,Thu,21,0.006321
4,Thu,22,0.006734
4,Thu,23,0.006734
5,Fri,0,0.006486
5,Fri,1,0.003718
5,Fri,2,0.002809
5,Fri,3,0.001529
5,Fri,4,0.001363
5,Fri,5,7.85E-4
5,Fri,6,0.001818
5,Fri,7,0.00219
5,Fri,8,0.002851
5,Fri,9,0.002272
5,Fri,10,0.003346
5,Fri,11,0.003842
5,Fri,12,0.004007
5,Fri,13,0.005908
5,Fri,14,0.004586
5,Fri,15,0.006528
5,Fri,16,0.006817
5,Fri,17,0.008056
5,Fri,18,0.006032
5,Fri,19,0.00661
5,Fri,20,0.007767
5,Fri,21,0.009254
5,Fri,22,0.008469
5,Fri,23,0.008345
6,Sat,0,0.008263
6,Sat,1,0.004916
6,Sat,2,0.003222
6,Sat,3,0.002727
6,Sat,4,0.002148
6,Sat,5,0.001074
6,Sat,6,0.001363
6,Sat,7,0.001776
6,Sat,8,0.002355
6,Sat,9,0.002479
6,Sat,10,0.00314
6,Sat,11,0.003925
6,Sat,12,0.005784
6,Sat,13,0.005371
6,Sat,14,0.006032
6,Sat,15,0.00628
6,Sat,16,0.005206
6,Sat,17,0.006238
6,Sat,18,0.00661
6,Sat,19,0.006569
6,Sat,20,0.006362
6,Sat,21,0.006197
6,Sat,22,0.006734
6,Sat,23,0.008263
7,Sun,0,0.006156
7,Sun,1,0.005453
7,Sun,2,0.003512
7,Sun,3,0.002644
7,Sun,4,0.00157
7,Sun,5,0.001363
7,Sun,6,5.78E-4
7,Sun,7,0.001281
7,Sun,8,0.001611
7,Sun,9,0.001363
7,Sun,10,0.002107
7,Sun,11,0.002438
7,Sun,12,0.002396
7,Sun,13,0.002933
7,Sun,14,0.003636
7,Sun,15,0.003512
7,Sun,16,0.004049
7,Sun,17,0.004007
7,Sun,18,0.00409
7,Sun,19,0.004421
7,Sun,20,0.004131
7,Sun,21,0.00376
7,Sun,22,0.005825
7,Sun,23,0.006032
