from_node,to_node,prob,from_share
(start),first_visit,0.760925,0.109751
screen_view:event_detail,session_start,0.446211,0.125703
select_promotion,view_promotion,0.631785,0.086685
user_engagement,(end),0.570614,0.09222
first_visit,screen_view:event_detail,0.606521,0.083562
session_start,select_promotion,0.387107,0.109565
session_start,view_promotion,0.279614,0.109565
view_promotion,user_engagement,0.277563,0.100738
screen_view:home,screen_view:home,0.247254,0.093286
view_promotion,select_promotion,0.206327,0.100738
screen_view:venue_detail,session_start,0.438118,0.047028
first_visit,screen_view:venue_detail,0.226767,0.083562
screen_view:home,screen_view:(other_screen),0.184324,0.093286
view_promotion,(end),0.163667,0.100738
screen_view:(other_screen),screen_view:home,0.27496,0.057441
view_promotion,screen_view:event_detail,0.149671,0.100738
screen_view:(other_screen),screen_view:(other_screen),0.254916,0.057441
screen_view:home,session_start,0.148896,0.093286
select_promotion,user_engagement,0.152651,0.086685
screen_view:event_detail,screen_view:event_detail,0.0993906,0.125703
screen_view:event_detail,user_engagement,0.0985618,0.125703
page_view,session_start,0.702095,0.014715
user_engagement,user_engagement,0.11198,0.09222
(start),screen_view:home,0.091532,0.109751
screen_view:home,screen_view:event_detail,0.102926,0.093286
screen_view:event_detail,select_promotion,0.0756244,0.125703
screen_view:event_apply,screen_view:event_detail,0.581389,0.015735
screen_view:event_detail,(end),0.0719108,0.125703
session_start,screen_view:home,0.082254,0.109565
first_visit,page_view,0.09662,0.083562
screen_view:event_detail,screen_view:home,0.0608034,0.125703
select_promotion,(end),0.085242,0.086685
session_start,user_engagement,0.062394,0.109565
session_start,(end),0.058753,0.109565
user_engagement,screen_view:event_detail,0.06646,0.09222
view_promotion,screen_view:venue_detail,0.05742,0.100738
user_engagement,screen_view:home,0.061643,0.09222
session_start,screen_view:(other_screen),0.05052,0.109565
screen_view:event_detail,screen_view:(other_screen),0.0435646,0.125703
screen_view:venue_detail,screen_view:venue_detail,0.115574,0.047028
(start),screen_view:event_detail,0.049318,0.109751
screen_view:home,(end),0.0570026,0.093286
screen_view:home,user_engagement,0.0549135,0.093286
screen_view:venue_detail,screen_view:venue_review,0.0985133,0.047028
screen_view:search_result,screen_view:search_result,0.409383,0.011306
screen_view:(other_screen),user_engagement,0.0787564,0.057441
screen_view:(other_screen),screen_view:event_detail,0.0754477,0.057441
user_engagement,sign_up,0.046404,0.09222
(start),session_start,0.037092,0.109751
first_visit,screen_view:home,0.046438,0.083562
screen_view:search_main,screen_view:search_result,0.59499,0.006514
select_promotion,screen_view:event_detail,0.043091,0.086685
screen_view:venue_detail,user_engagement,0.0750911,0.047028
screen_view:event_detail,screen_view:event_apply,0.0278412,0.125703
screen_view:home,screen_view:map_main,0.0371271,0.093286
screen_view:event_detail,view_promotion,0.0265429,0.125703
view_promotion,screen_view:home,0.03276,0.100738
screen_view:(other_screen),(end),0.0567434,0.057441
session_start,screen_view:event_detail,0.02917,0.109565
user_engagement,view_promotion,0.033869,0.09222
view_promotion,screen_view:event_apply,0.03051,0.100738
