kind,flag1,flag2,value
person_day_rate,visited,,0.940179
person_day_rate,is_new,,0.855199
person_day_rate,engaged,,0.698239
person_day_rate,viewed_event,,0.664555
person_day_rate,viewed_venue,,0.269009
person_day_rate,active,,0.161573
person_day_rate,is_member,,0.146012
person_day_rate,viewed_apply_page,,0.076314
person_day_rate,signed_up,,0.061452
person_day_rate,viewed_venue_review,,0.058423
person_day_rate,viewed_map,,0.033871
person_day_rate,viewed_payment,,0.026044
person_day_rate,searched,,0.025112
person_day_rate,applied,,0.021198
person_day_rate,applied_paid,,0.019242
person_day_rate,shared,,0.010855
person_day_rate,payment_done,,0.007594
person_day_rate,cancelled,,0.001677
person_day_rate,payment_failed,,7.92E-4
phi_corr,applied,applied_paid,0.9518
phi_corr,signed_up,viewed_apply_page,0.7616
phi_corr,active,is_member,0.7322
phi_corr,is_member,viewed_apply_page,0.6832
phi_corr,is_member,signed_up,0.6188
phi_corr,active,viewed_apply_page,0.588
phi_corr,active,signed_up,0.5829
phi_corr,viewed_apply_page,viewed_payment,0.5612
phi_corr,signed_up,viewed_payment,0.5331
phi_corr,payment_done,viewed_payment,0.5316
phi_corr,applied,viewed_apply_page,0.5047
phi_corr,applied_paid,viewed_apply_page,0.4809
phi_corr,applied,signed_up,0.4176
phi_corr,viewed_venue,viewed_venue_review,0.4106
phi_corr,applied_paid,signed_up,0.3991
phi_corr,active,viewed_map,0.3985
phi_corr,is_member,viewed_payment,0.3938
phi_corr,engaged,visited,0.3828
phi_corr,active,searched,0.3599
phi_corr,applied,is_member,0.3559
phi_corr,active,viewed_payment,0.3471
phi_corr,applied_paid,is_member,0.3387
phi_corr,active,applied,0.3352
phi_corr,active,applied_paid,0.3191
phi_corr,payment_done,viewed_apply_page,0.2983
phi_corr,searched,signed_up,0.2838
phi_corr,active,engaged,0.2687
phi_corr,is_member,viewed_map,0.2625
phi_corr,payment_done,signed_up,0.2614
phi_corr,is_member,searched,0.2566
phi_corr,searched,viewed_apply_page,0.2466
phi_corr,applied,cancelled,0.239
phi_corr,active,shared,0.2386
phi_corr,applied,searched,0.2306
phi_corr,applied_paid,searched,0.229
phi_corr,searched,viewed_map,0.2267
phi_corr,is_member,payment_done,0.21
phi_corr,engaged,is_member,0.2054
phi_corr,engaged,viewed_event,0.2049
phi_corr,viewed_apply_page,viewed_event,0.1949
phi_corr,active,payment_done,0.1905
phi_corr,payment_done,payment_failed,0.1883
phi_corr,applied_paid,cancelled,0.1849
phi_corr,engaged,viewed_apply_page,0.1805
phi_corr,payment_failed,viewed_payment,0.1722
phi_corr,engaged,signed_up,0.1682
phi_corr,signed_up,viewed_event,0.1584
phi_corr,is_new,viewed_map,-0.2391
phi_corr,viewed_event,viewed_venue_review,-0.3056
phi_corr,active,is_new,-0.3352
phi_corr,is_member,is_new,-0.4136
phi_corr,viewed_event,viewed_venue,-0.7571
